"location","source","target"
"pretix/plugins/sendmail/forms.py:19","Only send to people who bought","Sende nur an Käufer des Produktes"
"pretix/plugins/sendmail/forms.py:25","Only send to customers of","Nur an Kunden von"
"pretix/plugins/sendmail/forms.py:54 pretix/plugins/sendmail/views.py:165","pending with payment overdue","Zahlung ausstehend aber überfällig"
"pretix/plugins/sendmail/forms.py:57","Send to customers with order status","An Kunden mit Bestellstatus"
"pretix/plugins/sendmail/signals.py:48","Email was sent","E-Mail wurde verschickt"
"pretix/plugins/sendmail/signals.py:49","The order received a mass email.","Die Bestellung hat eine Rundmail erhalten."
"pretix/plugins/sendmail/templates/pretixplugins/sendmail/history.html:19","Sent to orders:","An Bestellungen:"
"pretix/plugins/sendmail/templates/pretixplugins/sendmail/history.html:38","Send a new email based on this","Neue Mail auf dieser Basis verschicken"
"pretix/plugins/sendmail/views.py:63","You supplied an invalid log entry ID","Ungültige Log-ID übergeben"
"pretix/plugins/sendmail/views.py:85","There are no orders matching this selection.","Es existiert keine Bestellung, die zu den eingegebenen Kriterien passt."
"pretix/plugins/sendmail/views.py:103","Sample Company LLC","Musterfirma GmbH"
"pretix/plugins/sendmail/views.py:130","Your message has been queued and will be sent to %d users in the next minutes.","Die Nachricht wurde gespeichert und wird in den nächsten Minuten an %d Benutzer versendet."
"pretix/plugins/statistics/__init__.py:9 pretix/plugins/statistics/__init__.py:12 pretix/plugins/statistics/signals.py:16 pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:6 pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:8","Statistics","Statistiken"
"pretix/plugins/statistics/__init__.py:15","This plugin shows you various statistics.","Dieses Plugin zeigt verschiedene Statistiken an."
"pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:17","Orders by day","Bestellungen nach Datum"
"pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:23","Orders paid in multiple payments are shown with the date of their last payment.","Bestellungen, die in mehreren Zahlungen bezahlt wurden, werden mit dem Datum ihrer letzten Zahlung angezeigt."
"pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:32","Revenue over time","Umsatzverlauf"
"pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:46","Only fully paid orders are counted. Orders paid in multiple payments are shown with the date of their last payment.","Nur vollständig bezahlte Bestellungen sind gezählt. Bestellungen, die in mehreren Zahlungen bezahlt wurden, werden mit dem Datum ihrer letzten Zahlung angezeigt."
"pretix/plugins/statistics/templates/pretixplugins/statistics/index.html:74","We will show you a variety of statistics about your sales right here, as soon as the first orders are submitted!","Wir zeigen dir hier gleich eine Menge Statistiken – sobald die ersten Bestellungen eingegangen sind!"
"pretix/plugins/stripe/__init__.py:10 pretix/plugins/stripe/__init__.py:13 pretix/plugins/stripe/payment.py:43","Stripe","Stripe"
"pretix/plugins/stripe/__init__.py:16","This plugin allows you to receive credit card payments via Stripe","Dieses Plugin erlaubt, Kreditkartenzahlungen über Stripe anzunehmen"
"pretix/plugins/stripe/forms.py:17","The provided key ""%(value)s"" does not look valid. It should start with ""%(prefix)s"".","Der eingegebene Schlüssel ""%(value)s"" sieht ungültig aus. Er sollte mit ""%(prefix)s"" beginnen."
"pretix/plugins/stripe/payment.py:72","To accept payments via Stripe, you will need an account at Stripe. By clicking on the following button, you can either create a new Stripe account connect pretix to an existing one.","Um Zahlungen mit Stripe zu akzeptieren, benötigst du ein Konto bei Stripe. Mit einem Klick auf diesen Button kannst du entweder ein neues Stripe-Konto erstellen, oder pretix mit einem bestehenden Stripe-Konto verknüpfen."
"pretix/plugins/stripe/payment.py:76","Connect with Stripe","Mit Stripe verbinden"
"pretix/plugins/stripe/payment.py:86","Disconnect from Stripe","Verbindung mit Stripe trennen"
"pretix/plugins/stripe/payment.py:90","Please configure a <a href=""https://dashboard.stripe.com/account/webhooks"">Stripe Webhook</a> to the following endpoint in order to automatically cancel orders when charges are refunded externally and to process asynchronous payment methods like SOFORT.","Bitte konfiguriere einen <a href=""https://dashboard.stripe.com/account/webhooks"">Stripe Webhook</a> zum folgenden Endpunkt, damit Bestellungen automatisch als storniert markiert werden, wenn die Zahlung zurückerstattet wird und zur Verarbeitung asynchroner Zahlungsmethoden wie SOFORT."
"pretix/plugins/stripe/payment.py:104","Stripe account","Stripe-Konto"
"pretix/plugins/stripe/payment.py:112","Live","Live"
"pretix/plugins/stripe/payment.py:113","Testing","Test-System"
"pretix/plugins/stripe/payment.py:115","If your event is in test mode, we will always use Stripe's test API, regardless of this setting.","Wenn deine Veranstaltung im Testmodus ist, nutzen wir immer die Stripe-Test-API, unabhängig von dieser Einstellung."
"pretix/plugins/stripe/payment.py:128","Publishable key","Veröffentlichbarer Schlüssel"
"pretix/plugins/stripe/payment.py:139","Secret key","Geheimer Schlüssel"
"pretix/plugins/stripe/payment.py:148","The country in which your Stripe-account is registred in. Usually, this is your country of residence.","Das Land, in dem dein Stripe-Account registriert ist. Normalerweise ist dies das Land deines Wohn- bzw. Firmensitzes."
"pretix/plugins/stripe/payment.py:156","User interface","Benutzeroberfläche"
"pretix/plugins/stripe/payment.py:158","Simple (pretix design)","Einfach (pretix-Design)"
"pretix/plugins/stripe/payment.py:159","Stripe Checkout","Stripe Checkout"
"pretix/plugins/stripe/payment.py:161","Only relevant for credit card payments.","Nur für Kreditkartenzahlung relevant."
"pretix/plugins/stripe/payment.py:165","Credit card payments","Kreditkartenzahlungen"
"pretix/plugins/stripe/payment.py:170 pretix/plugins/stripe/payment.py:692","giropay","giropay"
"pretix/plugins/stripe/payment.py:172 pretix/plugins/stripe/payment.py:179 pretix/plugins/stripe/payment.py:186 pretix/plugins/stripe/payment.py:193 pretix/plugins/stripe/payment.py:201","Needs to be enabled in your Stripe account first.","Muss erst im Stripe-Account aktiviert werden."
"pretix/plugins/stripe/payment.py:177 pretix/plugins/stripe/payment.py:761","iDEAL","iDEAL"
"pretix/plugins/stripe/payment.py:184 pretix/plugins/stripe/payment.py:810","Alipay","Alipay"
"pretix/plugins/stripe/payment.py:191 pretix/plugins/stripe/payment.py:853","Bancontact","Bancontact"
"pretix/plugins/stripe/payment.py:198 pretix/plugins/stripe/payment.py:922","SOFORT","SOFORT"
"pretix/plugins/stripe/payment.py:203","Despite the name, Sofort payments via Stripe are <strong>not</strong> processed instantly but might take up to <strong>14 days</strong> to be confirmed in some cases. Please only activate this payment method if your payment term allows for this lag.","Trotz des Namens werden Sofortüberweisungen von Stripe <strong>nicht</strong> sofort verarbeitet, sondern können in einigen Fällen <strong>bis zu 14 Tage</strong> zur Verarbeitung in Anspruch nehmen. Bitte aktiviere diese Zahlungsmethode nur, wenn die gesetzte Zahlungsfrist für so eine Verzögerung ausreichend ist."
"pretix/plugins/stripe/payment.py:212","3D Secure mode","3D-Secure-Behandlung"
"pretix/plugins/stripe/payment.py:213","This determines when we will use the 3D Secure methods for credit card payments. Using 3D Secure (also known as Verified by VISA or MasterCard SecureCode) reduces the risk of fraud but makes the payment process a bit longer.","Dies legt fest, wann wir die 3D-Secure-Methode nutzen werden. 3D-Secure, auch bekannt als Verified by VISA oder MasterCard SecureCode, reduziert das Betrugsrisiko aber verlängert den Zahlungsvorgang."
"pretix/plugins/stripe/payment.py:217","Only when required by the card","Nur wenn von der Karte erfordert"
"pretix/plugins/stripe/payment.py:218","Always when recommended by Stripe","Immer wenn von Stripe empfohlen"
"pretix/plugins/stripe/payment.py:219","Always when supported by the card","Immer wenn von der Karte unterstützt"
"pretix/plugins/stripe/payment.py:244","The Stripe plugin is operating in test mode. You can use one of <a {args}>many test cards</a> to perform a transaction. No money will actually be transferred.","Das Stripe-Modul befindet sich im Testmodus. Du kannst eine von <a {args}>vielen Testkarten</a> verwenden um eine Transaktion durchzuführen. Es wird kein echtes Geld transferiert."
"pretix/plugins/stripe/payment.py:315 pretix/plugins/stripe/payment.py:635 pretix/plugins/stripe/payment.py:726 pretix/plugins/stripe/payment.py:784 pretix/plugins/stripe/payment.py:887 pretix/plugins/stripe/payment.py:959","{event}-{code}","{event}-{code}"
"pretix/plugins/stripe/payment.py:356","Stripe reported an error with your card: %s","Stripe meldete einen Fehler: %s"
"pretix/plugins/stripe/payment.py:376 pretix/plugins/stripe/payment.py:506 pretix/plugins/stripe/payment.py:680","We had trouble communicating with Stripe. Please try again and get in touch with us if this problem persists.","Bei der Kommunikation mit Stripe ist ein Problem aufgetreten. Bitte versuche es erneut und setze dich mit uns in Verbindung, wenn das Problem fortbesteht."
"pretix/plugins/stripe/payment.py:394","Your payment is pending completion. We will inform you as soon as the payment completed.","Die Zahlung wurde noch nicht bestätigt. Wir informieren dich, sobald die Bezahlung abgeschlossen ist."
"pretix/plugins/stripe/payment.py:410","Stripe reported an error: %s","Stripe meldete einen Fehler: %s"
"pretix/plugins/stripe/payment.py:454","No payment information found.","Keine Zahlungsinformationen gefunden."
"pretix/plugins/stripe/payment.py:470","We had trouble communicating with Stripe. Please try again and contact support if the problem persists.","Bei der Kommunikation mit Stripe ist ein Problem aufgetreten. Bitte versuche es erneut und setz dich mit dem Support in Verbindung, wenn das Problem fortbesteht."
"pretix/plugins/stripe/payment.py:474","Stripe returned an error","Stripe meldete einen Fehler"
"pretix/plugins/stripe/payment.py:577","Credit card via Stripe","Kreditkarte über Stripe"
"pretix/plugins/stripe/payment.py:578","Credit card","Kreditkarte"
"pretix/plugins/stripe/payment.py:608","You may need to enable JavaScript for Stripe payments.","Du musst JavaScript aktivieren, um mit Stripe zu bezahlen."
"pretix/plugins/stripe/payment.py:691","giropay via Stripe","giropay über Stripe"
"pretix/plugins/stripe/payment.py:723 pretix/plugins/stripe/payment.py:884","unknown name","unbekannter Name"
"pretix/plugins/stripe/payment.py:760","iDEAL via Stripe","iDEAL über Stripe"
"pretix/plugins/stripe/payment.py:809","Alipay via Stripe","Alipay über Stripe"
"pretix/plugins/stripe/payment.py:852","Bancontact via Stripe","Bancontact über Stripe"
"pretix/plugins/stripe/payment.py:921","SOFORT via Stripe","SOFORT via Stripe"
"pretix/plugins/stripe/payment.py:938","Country of your bank","Land der Bank"
"pretix/plugins/stripe/payment.py:939","Germany","Deutschland"
"pretix/plugins/stripe/payment.py:940","Austria","Österreich"
"pretix/plugins/stripe/payment.py:941","Belgium","Belgien"
"pretix/plugins/stripe/payment.py:942","Netherlands","Niederlande"
"pretix/plugins/stripe/payment.py:943","Spain","Spanien"
"pretix/plugins/stripe/signals.py:59","Charge succeeded.","Buchung erfolgreich."
"pretix/plugins/stripe/signals.py:60","Charge refunded.","Buchung erstattet."
"pretix/plugins/stripe/signals.py:61","Charge updated.","Buchung geändert."
"pretix/plugins/stripe/signals.py:62","Charge pending","Zahlung ausstehend"
"pretix/plugins/stripe/signals.py:63","Payment authorized.","Zahlung authorisiert."
"pretix/plugins/stripe/signals.py:64","Payment authorization canceled.","Zahlungsautorisierung abgebrochen."
"pretix/plugins/stripe/signals.py:65","Payment authorization failed.","Zahlungsautorisierung fehlgeschlagen."
"pretix/plugins/stripe/signals.py:71","Charge failed. Reason: {}","Buchung fehlgeschlagen. Grund: {}"
"pretix/plugins/stripe/signals.py:73","Dispute created. Reason: {}","Buchung durch Kunden angefochten. Grund: {}"
"pretix/plugins/stripe/signals.py:75","Dispute updated. Reason: {}","Die Anfechtung hat sich geändert. Grund: {}"
"pretix/plugins/stripe/signals.py:77","Dispute closed. Status: {}","Anfechtungsverfahren beendet. Grund. {}"
"pretix/plugins/stripe/signals.py:80","Stripe reported an event: {}","Stripe meldete ein Ereignis: {}"
"pretix/plugins/stripe/signals.py:91","Stripe Connect: Client ID","Stripe Connect: Client-ID"
"pretix/plugins/stripe/signals.py:98","Stripe Connect: Secret key","Stripe Connect: Geheimer Schlüssel"
"pretix/plugins/stripe/signals.py:105","Stripe Connect: Publishable key","Stripe Connect: Veröffentlichbarer Schlüssel"
"pretix/plugins/stripe/signals.py:112","Stripe Connect: Secret key (test)","Stripe Connect: Geheimer Schlüssel (Testmodus)"
"pretix/plugins/stripe/signals.py:119","Stripe Connect: Publishable key (test)","Stripe Connect: Öffentlicher Schlüssel (Testmodus)"
"pretix/plugins/stripe/templates/pretixplugins/stripe/action_double.html:5","The Stripe transaction <a %(stripe_href)s>%(charge)s</a> has succeeded, but the order %(order)s has already been paid by other means. Please double-check and refund the money via Stripe's interface.","Die Stripe-Zahlung <a %(stripe_href)s>%(charge)s</a> war erfolgreich, aber die Bestellung %(order)s wurde bereits mit einer anderen Methode bezahlt. Bitte kontaktiere den Kunden und überweise das Geld über Stripes Oberfläche zurück."
"pretix/plugins/stripe/templates/pretixplugins/stripe/action_overpaid.html:5","The Stripe transaction <a %(stripe_href)s>%(charge)s</a> has succeeded, but the order %(order)s is expired and the product was sold out in the meantime. Therefore, the payment could not be accepted. Please contact the user and refund the money via Stripe's interface.","Die Stripe-Zahlung <a %(stripe_href)s>%(charge)s</a> war erfolgreich, aber die Bestellung %(order)s war abgelaufen und das Produkt wurde während der Transaktion ausverkauft. Die Zahlung konnte daher nicht akzeptiert werden. Bitte kontaktiere den Kunden und überweise das Geld über Stripes Oberfläche zurück."
"pretix/plugins/stripe/templates/pretixplugins/stripe/action_refund.html:5","Stripe reported that the transaction <a %(stripe_href)s>%(charge)s</a> has been refunded. Do you want to refund mark the matching order (%(order)s) as refunded?","Stripe hat gemeldet, dass die Zahlung <a %(stripe_href)s>%(charge)s</a> erstattet oder storniert wurde. Soll die passende Bestellung (%(order)s) als erstattet markiert werden?"
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_confirm.html:4","The total amount will be withdrawn from your credit card.","Der Gesamtbetrag wird von deiner Kreditkarte eingezogen."
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_confirm.html:8 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:19 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:14 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:11","Card type","Kartentyp"
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_confirm.html:14 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_bancontact.html:4 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_giropay.html:4 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_simple.html:2 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_sofort.html:4","After you submitted your order, we will redirect you to the payment service provider to complete your payment. You will then be redirected back here to get your tickets.","Nach dem Klick auf „Fortfahren“ wirst du zum Zahlungsdienstleister weitergeleitet, um deine Zahlungsdaten einzugeben. Du wirst danach wieder hierher zurückgeleitet, um deine Bestellung zu bestätigen."
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:9 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:6","For a credit card payment, please turn on JavaScript.","Bitte aktiviere JavaScript um mit Kreditkarte zahlen zu können."
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:15 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:10","You already entered a card number that we will use to charge the payment amount.","Du hast bereits eine Kartennummer eingegeben, die wir für die Zahlung benutzen werden."
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:26 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:20","Use a different card","Andere Kreditkarte verwenden"
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:43","OR","ODER"
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:56 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:34","Your payment will be processed by Stripe, Inc. Your credit card data will be transmitted directly to Stripe and never touches our servers.","Deine Zahlung wird durch Stripe, Inc. abgewickelt. Deine Kreditkartendaten werden direkt an Stripe übertragen und kommen nicht in Kontakt mit unseren Servern."
"pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:28","Please continue below to start the credit card payment.","Bitte fahre unten fort, um die Kreditkartenzahlung zu starten."
"pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:6","Charge ID","Charge-ID"
"pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:16 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:23 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:29 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:35","Payer name","Name des Zahlenden"
"pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:52","Error message","Fehlermeldung"
"pretix/plugins/stripe/templates/pretixplugins/stripe/pending.html:4","We're waiting for an answer from the payment provider regarding your payment. Please contact us if this takes more than a few days.","Wir warten auf eine Antwort vom Zahlungsdienstleister bezüglich deiner Zahlung. Bitte kontaktiere uns, wenn dies mehr als ein paar Tage dauert."
"pretix/plugins/stripe/templates/pretixplugins/stripe/pending.html:9","The payment transaction could not be completed for the following reason:","Die Zahlung konnte aus folgendem Grund nicht abgeschlossen werden:"
"pretix/plugins/stripe/templates/pretixplugins/stripe/pending.html:16","Unknown reason","Unbekannter Grund"
"pretix/plugins/stripe/views.py:53 pretix/plugins/stripe/views.py:59 pretix/plugins/stripe/views.py:86 pretix/plugins/stripe/views.py:98","An error occurred during connecting with Stripe, please try again.","Während der Verbindung mit Stripe ist ein Fehler aufgetreten, bitte versuche es erneut."
"pretix/plugins/stripe/views.py:106 pretix/plugins/stripe/views.py:108","Stripe returned an error: {}","Stripe meldete einen Fehler: {}"
"pretix/plugins/stripe/views.py:111","Your Stripe account is now connected to pretix. You can change the settings in detail below.","Ihr Stripe-Konto ist nun mit pretix verbunden. Auf dieser Seite können Sie die Einstellungen im Detail anpassen."
"pretix/plugins/stripe/views.py:369","Your Stripe account has been disconnected.","Das Stripe-Konto wurde getrennt."
"pretix/plugins/stripe/views.py:417 pretix/plugins/stripe/views.py:462","Sorry, there was an error in the payment process. Please check the link in your emails to continue.","Sorry, es gab einen Fehler im Bezahlvorgang. Bitte klicke den Link in der E-Mail, die wir dir geschickt haben, um fortzufahren."
"pretix/plugins/stripe/views.py:456","We had trouble authorizing your card payment. Please try again and get in touch with us if this problem persists.","Wir konnten die Zahlung nicht verarbeiten. Bitte probiere es erneut und kontaktiere uns, falls das Problem fortbesteht."
"pretix/plugins/ticketoutputpdf/__init__.py:10 pretix/plugins/ticketoutputpdf/__init__.py:13","PDF ticket output","PDF-Ticketausgabe"
"pretix/plugins/ticketoutputpdf/__init__.py:16","This plugin allows you to print out tickets as PDF files","Dieses Plugin erlaubt, Tickets als PDF-Dateien herunterzuladen"
"pretix/plugins/ticketoutputpdf/exporters.py:22","All PDF tickets in one file","Alle PDF-Tickets in einer Datei"
"pretix/plugins/ticketoutputpdf/forms.py:25","PDF ticket layout for {channel}","PDF-Ticketlayout für {channel}"
"pretix/plugins/ticketoutputpdf/forms.py:28","(Same as above)","(wie oben)"
"pretix/plugins/ticketoutputpdf/forms.py:30","PDF ticket layout","PDF-Ticketlayout"
"pretix/plugins/ticketoutputpdf/migrations/0002_auto_20180605_2022.py:22 pretix/plugins/ticketoutputpdf/migrations/0002_auto_20180605_2022.py:38 pretix/plugins/ticketoutputpdf/views.py:179","Default layout","Standard-Layout"
"pretix/plugins/ticketoutputpdf/signals.py:99","Ticket layout created.","Das Ticket-Layout wurde erstellt."
"pretix/plugins/ticketoutputpdf/signals.py:100","Ticket layout deleted.","Das Ticket-Layout wurde gelöscht."
"pretix/plugins/ticketoutputpdf/signals.py:101","Ticket layout changed.","Das Ticket-Layout wurde geändert."
"pretix/plugins/ticketoutputpdf/signals.py:114","Ticket layout {val}","Ticket-Layout {val}"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/delete.html:4 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/delete.html:6 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/edit.html:8 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/edit.html:15","Ticket layout","Ticket-Layout"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/delete.html:9","Are you sure you want to delete the layout <strong>%(layout)s</strong>?","Möchtest du das Layout <strong>%(layout)s</strong> wirklich löschen?"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/edit.html:6 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/edit.html:13","Ticket layout: %(name)s","Ticket-Layout: %(name)s"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/edit.html:23 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/form.html:4","Ticket design","Ticket-Design"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/form.html:8","You can customize the ticket design with our PDF ticket editor. There, you can upload a PDF file used as a background for the tickets and then place various texts and QR codes on the background at the positions of your choice. The editor is easy to use thanks to its drag-and-drop user interface, but it requires a modern browser and a decent internet connection.","Du kannst das Ticket-Design mit unserem PDF-Editor anpassen. Dort kannst du eine PDF-Datei als Hintergrund hochladen und dann verschiedene Texte und QR-Codes auf dem Hintergrund an den Positionen deiner Wahl platzieren. Dank seines Drag-and-Drop-Interfaces ist der Editor einfach zu bedienen, erfordert jedoch einen modernen Browser und eine stabile Internetverbindung."
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/form.html:18","Change default layout in a new tab","Standard-Layout in neuem Tab bearbeiten"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/form.html:22","Advanced mode (multiple layouts)","Erweiterter Modus (mehrere Layouts)"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/index.html:4 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/index.html:6","Ticket layouts","Ticket-Layouts"
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/index.html:10","You haven't created any layouts yet.","Du hast noch keine Layouts erstellt."
"pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/index.html:17 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/index.html:24","Create a new layout","Neues Layout erstellen"
"pretix/plugins/ticketoutputpdf/ticketoutput.py:28","PDF output","PDF-Ausgabe"
"pretix/plugins/ticketoutputpdf/views.py:35","Default ticket layout","Standard-Ticketlayout"
"pretix/plugins/ticketoutputpdf/views.py:92","The new ticket layout has been created.","Das neue Layout wurde erstellt."
"pretix/plugins/ticketoutputpdf/views.py:120 pretix/plugins/ticketoutputpdf/views.py:150 pretix/plugins/ticketoutputpdf/views.py:198","The requested layout does not exist.","Das ausgewählte Layout existiert nicht."
"pretix/plugins/ticketoutputpdf/views.py:162","The selected ticket layout been deleted.","Das ausgewählte Layout wurde gelöscht."
"pretix/plugins/ticketoutputpdf/views.py:202","Ticket PDF layout: {}","Ticket-Layout: {}"
"pretix/presale/checkoutflow.py:54","Step","Schritt"
"pretix/presale/checkoutflow.py:185","Add-on products","Zusatzauswahl"
"pretix/presale/checkoutflow.py:310","Your information","Deine Informationen"
"pretix/presale/checkoutflow.py:409 pretix/presale/checkoutflow.py:415","Please enter a valid email address.","Bitte gib eine gültige E-Mail-Adresse ein."
"pretix/presale/checkoutflow.py:422","Please enter your invoicing address.","Bitte gib deine Rechnungsadresse ein."
"pretix/presale/checkoutflow.py:426","Please enter your name.","Bitte gib deinen Namen ein."
"pretix/presale/checkoutflow.py:459 pretix/presale/checkoutflow.py:464 pretix/presale/checkoutflow.py:469","Please fill in answers to all required questions.","Bitte fülle Antworten zu allen benötigten Fragen ein."
"pretix/presale/checkoutflow.py:496","Payment","Zahlung"
"pretix/presale/checkoutflow.py:539 pretix/presale/views/order.py:480","Please select a payment method.","Bitte wähle eine Zahlungsmethode aus."
"pretix/presale/checkoutflow.py:563 pretix/presale/checkoutflow.py:569 pretix/presale/views/order.py:252 pretix/presale/views/order.py:309","The payment information you entered was incomplete.","Die eingegebenen Zahlungsinformationen sind unvollständig."
"pretix/presale/checkoutflow.py:600","Review order","Anmeldung prüfen"
"pretix/presale/checkoutflow.py:683","You need to check all checkboxes on the bottom of the page.","Du musst alle Kontrollkästchen auf dieser Seite auswählen."
"pretix/presale/checkoutflow.py:717","There was an error sending the confirmation mail. Please try again later.","Es gab einen Fehler beim Senden der Bestätigungsmail, bitte später erneut versuchen."
"pretix/presale/forms/checkout.py:27","Make sure to enter a valid email address. We will send you an order confirmation including a link that you need to access your order later.","Gib eine gültige E-Mail-Adresse ein. Wir werden dir an diese Adresse eine Anmeldebestätigung schicken. Diese enthält einen Link, den du brauchst, falls du später auf deine Anmeldung zugreifen möchtest."
"pretix/presale/forms/checkout.py:40","E-mail address (repeated)","E-Mail-Adresse wiederholen"
"pretix/presale/forms/checkout.py:41","Please enter the same email address again to make sure you typed it correctly.","Bitte gib die selbe E-Mail-Adresse erneut ein um sicherzustellen, dass du dich nicht vertippt hast."
"pretix/presale/forms/checkout.py:63","Please enter the same email address twice.","Bitte gib zweimal die selbe E-Mail-Adresse ein."
"pretix/presale/forms/checkout.py:158","{name} (+ {price})","{name} (+ {price})"
"pretix/presale/forms/checkout.py:162","{name} (+ {price} plus {taxes}% {taxname})","{name} (+ {price} zzgl. {taxes}% {taxname})"
"pretix/presale/forms/checkout.py:167","{name} (+ {price} incl. {taxes}% {taxname})","{name} (+ {price} inkl. {taxes}% {taxname})"
"pretix/presale/forms/checkout.py:173 pretix/presale/templates/pretixpresale/event/fragment_availability.html:5","SOLD OUT","AUSVERKAUFT"
"pretix/presale/forms/checkout.py:175","Currently unavailable","Aktuell nicht verfügbar"
"pretix/presale/forms/checkout.py:178 pretix/presale/templates/pretixpresale/event/fragment_quota_left.html:4","%(num)s currently available","Aktuell verfügbar: %(num)s"
"pretix/presale/forms/checkout.py:251","no selection","Keine Auswahl"
"pretix/presale/ical.py:52","Tickets: {url}","Tickets: {url}"
"pretix/presale/ical.py:55","Admission: {datetime}","Einlass: {datetime}"
"pretix/presale/ical.py:59","Organizer: {organizer}","Veranstalter: {organizer}"
"pretix/presale/templates/pretixpresale/base_footer.html:36","<a %(a_attr)s>event ticketing powered by pretix</a>","<a %(a_attr)s 1>Event-Ticketing-Software von pretix</a>"
"pretix/presale/templates/pretixpresale/event/base.html:21","This shop is currently only visible to you and your team.","Dieser Shop ist aktuell nur für dich und dein Team sichtbar."
"pretix/presale/templates/pretixpresale/event/base.html:23","Take it live now","Jetzt veröffentlichen"
"pretix/presale/templates/pretixpresale/event/base.html:34","Show all events of %(name)s","Alle Veranstaltungen von %(name)s"
"pretix/presale/templates/pretixpresale/event/base.html:70 pretix/presale/templates/pretixpresale/event/base.html:86","This ticket shop is currently in test mode. Please do not perform any real purchases as your order might be deleted without notice.","Der Ticketshop ist momentan im Testmodus. Bitte führe keine echten Anmeldungen durch, deine Anmeldung kann jederzeit ohne Warnung gelöscht werden."
"pretix/presale/templates/pretixpresale/event/base.html:93","Contact event organizer","Veranstalter kontaktieren"
"pretix/presale/templates/pretixpresale/event/base.html:96","Imprint","Impressum"
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:7","For some of the products in your cart, you can choose additional options before you continue.","Bevor du fortfährst, wähle bitte eine der Zusatzoptionen aus."
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:10","We're now trying to book these add-ons for you!","Wir versuchen nun, diese Zusatzoptionen für dich zu buchen!"
"pretix/presale/templates/pretixpresale/event/checkout_addons.html:39","You need to choose exactly one option from this category.","Du musst genau eine Option aus dieser Kategorie auswählen."
